,song,artist,peak_rank,rank_last_week,weeks_on_chart,rank,date
8598,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,0,7,99,2020-08-22
8599,After Party,Don Toliver,57,0,15,100,2020-08-22
8600,WAP,Cardi B Featuring Megan Thee Stallion,1,0,1,1,2020-08-29
8601,Rockstar,DaBaby Featuring Roddy Ricch,1,2,17,2,2020-08-29
8602,Blinding Lights,The Weeknd,1,4,37,3,2020-08-29
8603,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,3,27,4,2020-08-29
8604,Watermelon Sugar,Harry Styles,1,1,21,5,2020-08-29
8605,Roses,SAINt JHN,4,5,21,6,2020-08-29
8606,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,7,9,7,2020-08-29
8607,Smile,Juice WRLD & The Weeknd,8,0,1,8,2020-08-29
8608,Go Crazy,Chris Brown & Young Thug,9,9,14,9,2020-08-29
8609,Before You Go,Lewis Capaldi,10,11,28,10,2020-08-29
8610,I Hope,Gabby Barrett Featuring Charlie Puth,11,15,33,11,2020-08-29
8611,Rags2Riches,Rod Wave Featuring ATR Son Son,12,55,7,12,2020-08-29
8612,Break My Heart,Dua Lipa,13,14,20,13,2020-08-29
8613,Adore You,Harry Styles,6,12,36,14,2020-08-29
8614,Circles,Post Malone,1,16,50,15,2020-08-29
8615,Savage,Megan Thee Stallion,1,13,22,16,2020-08-29
8616,Mood Swings,Pop Smoke Featuring Lil Tjay,17,25,6,17,2020-08-29
8617,Come & Go,Juice WRLD x Marshmello,2,17,5,18,2020-08-29
8618,Blueberry Faygo,Lil Mosey,8,10,27,19,2020-08-29
8619,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,20,6,20,2020-08-29
8620,One Margarita,Luke Bryan,19,27,15,21,2020-08-29
8621,Die From A Broken Heart,Maddie & Tae,22,26,18,22,2020-08-29
8622,Popstar,DJ Khaled Featuring Drake,3,18,4,23,2020-08-29
8623,Cardigan,Taylor Swift,1,8,3,24,2020-08-29
8624,Death Bed,Powfu Featuring beabadoobee,23,24,22,25,2020-08-29
8625,Don't Start Now,Dua Lipa,2,22,41,26,2020-08-29
8626,Wishing Well,Juice WRLD,5,21,5,27,2020-08-29
8627,The Bones,Maren Morris,12,28,47,28,2020-08-29
8628,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,30,6,29,2020-08-29
8629,Life Is Good,Future Featuring Drake,2,29,31,30,2020-08-29
8630,Intentions,Justin Bieber Featuring Quavo,5,32,27,31,2020-08-29
8631,We Paid,Lil Baby & 42 Dugg,10,31,15,32,2020-08-29
8632,Say So,Doja Cat Featuring Nicki Minaj,1,33,32,33,2020-08-29
8633,Party Girl,StaySolidRocky,21,34,16,34,2020-08-29
8634,Girls In The Hood,Megan Thee Stallion,28,46,7,35,2020-08-29
8635,Rain On Me,Lady Gaga & Ariana Grande,1,35,12,36,2020-08-29
8636,Be Like That,Kane Brown With Swae Lee & Khalid,37,47,5,37,2020-08-29
8637,Chasin' You,Morgan Wallen,16,39,29,38,2020-08-29
8638,My Future,Billie Eilish,6,6,2,39,2020-08-29
8639,Cool Again,Kane Brown,40,67,11,40,2020-08-29
8640,Nobody's Love,Maroon 5,41,45,3,41,2020-08-29
8641,The Box,Roddy Ricch,1,37,36,42,2020-08-29
8642,Hard To Forget,Sam Hunt,26,38,20,43,2020-08-29
8643,Tap In,Saweetie,44,53,5,44,2020-08-29
8644,Emotionally Scarred,Lil Baby,31,44,24,45,2020-08-29
8645,The Bigger Picture,Lil Baby,3,42,9,46,2020-08-29
8646,Got What I Got,Jason Aldean,47,51,11,47,2020-08-29
8647,If The World Was Ending,JP Saxe Featuring Julia Michaels,48,50,20,48,2020-08-29
8648,Done,Chris Janson,41,41,9,49,2020-08-29
8649,The 1,Taylor Swift,4,23,3,50,2020-08-29
8650,Supalonely,BENEE Featuring Gus Dapperton,39,49,22,51,2020-08-29
8651,Why We Drink,Justin Moore,52,58,11,52,2020-08-29
8652,I Love My Country,Florida Georgia Line,48,54,17,53,2020-08-29
8653,Like That,Doja Cat Featuring Gucci Mane,51,57,11,54,2020-08-29
8654,Bluebird,Miranda Lambert,26,40,19,55,2020-08-29
8655,Lovin' On You,Luke Combs,56,60,7,56,2020-08-29
8656,Said Sum,Moneybagg Yo,44,52,6,57,2020-08-29
8657,Greece,DJ Khaled Featuring Drake,8,56,4,58,2020-08-29
8658,One Of Them Girls,Lee Brice,59,61,11,59,2020-08-29
8659,I Should Probably Go To Bed,Dan + Shay,43,43,2,60,2020-08-29
8660,Exile,Taylor Swift Featuring Bon Iver,6,36,3,61,2020-08-29
8661,Letter From Houston,Rod Wave,62,0,1,62,2020-08-29
8662,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",58,62,19,63,2020-08-29
8663,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,68,3,64,2020-08-29
8664,Girl Of My Dreams,Rod Wave,65,86,13,65,2020-08-29
8665,God Whispered Your Name,Keith Urban,60,72,17,66,2020-08-29
8666,More Than My Hometown,Morgan Wallen,61,70,9,67,2020-08-29
8667,Toosie Slide,Drake,1,64,19,68,2020-08-29
8668,Bang!,AJR,69,78,6,69,2020-08-29
8669,Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",62,75,10,70,2020-08-29
8670,One Big Country Song,LOCASH,50,63,11,71,2020-08-29
8671,Breaking Me,Topic & A7S,72,95,3,72,2020-08-29
8672,Kings & Queens,Ava Max,73,0,1,73,2020-08-29
8673,Dollaz On My Head,Gunna Featuring Young Thug,38,76,10,74,2020-08-29
8674,Got It On Me,Pop Smoke,31,65,6,75,2020-08-29
8675,One Night Standards,Ashley McBryde,76,81,10,76,2020-08-29
8676,Pretty Heart,Parker McCollum,77,94,5,77,2020-08-29
8677,ily,Surf Mesa Featuring Emilee,72,87,12,78,2020-08-29
8678,Stuck With U,Ariana Grande & Justin Bieber,1,79,14,79,2020-08-29
8679,Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,10,74,5,80,2020-08-29
8680,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,81,90,10,81,2020-08-29
8681,My Ex's Best Friend,Machine Gun Kelly X blackbear,82,0,1,82,2020-08-29
8682,Conversations,Juice WRLD,7,71,5,83,2020-08-29
8683,Mood,24kGoldn Featuring iann dior,84,0,1,84,2020-08-29
8684,Don't Rush,Young T & Bugsey Featuring Headie One,56,77,14,85,2020-08-29
8685,Freestyle,Rod Wave,86,0,1,86,2020-08-29
8686,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,89,3,87,2020-08-29
8687,Something Special,Pop Smoke,41,80,6,88,2020-08-29
8688,I Called Mama,Tim McGraw,89,0,2,89,2020-08-29
8689,After Party,Don Toliver,57,100,16,90,2020-08-29
8690,Righteous,Juice WRLD,11,83,15,91,2020-08-29
8691,Some Girls,Jameson Rodgers,92,0,1,92,2020-08-29
8692,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,93,0,1,93,2020-08-29
8693,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,99,8,94,2020-08-29
8694,B*tch From da Souf,Mulatto,95,0,1,95,2020-08-29
8695,Need It,Migos Featuring YoungBoy Never Broke Again,62,82,12,96,2020-08-29
8696,Life's A Mess,Juice WRLD X Halsey,9,84,6,97,2020-08-29
8697,Past Life,Trevor Daniel x Selena Gomez,77,0,4,98,2020-08-29
8698,Move Ya Hips,A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,19,19,2,99,2020-08-29
8699,Be Kind,Marshmello & Halsey,29,88,15,100,2020-08-29
8700,WAP,Cardi B Featuring Megan Thee Stallion,1,1,2,1,2020-09-05
8701,Laugh Now Cry Later,Drake Featuring Lil Durk,2,0,1,2,2020-09-05
8702,Rockstar,DaBaby Featuring Roddy Ricch,1,2,18,3,2020-09-05
8703,Blinding Lights,The Weeknd,1,3,38,4,2020-09-05
8704,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,4,28,5,2020-09-05
8705,7 Summers,Morgan Wallen,6,0,1,6,2020-09-05
8706,Watermelon Sugar,Harry Styles,1,5,22,7,2020-09-05
8707,Roses,SAINt JHN,4,6,22,8,2020-09-05
8708,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,7,10,9,2020-09-05
8709,I Hope,Gabby Barrett Featuring Charlie Puth,10,11,34,10,2020-09-05
8710,Go Crazy,Chris Brown & Young Thug,9,9,15,11,2020-09-05
8711,Before You Go,Lewis Capaldi,10,10,29,12,2020-09-05
8712,Break My Heart,Dua Lipa,13,13,21,13,2020-09-05
8713,Midnight Sky,Miley Cyrus,14,0,1,14,2020-09-05
8714,Adore You,Harry Styles,6,14,37,15,2020-09-05
8715,Circles,Post Malone,1,15,51,16,2020-09-05
8716,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,20,7,17,2020-09-05
8717,Come & Go,Juice WRLD x Marshmello,2,18,6,18,2020-09-05
8718,Mood Swings,Pop Smoke Featuring Lil Tjay,17,17,7,19,2020-09-05
8719,Savage,Megan Thee Stallion,1,16,23,20,2020-09-05
8720,Popstar,DJ Khaled Featuring Drake,3,23,5,21,2020-09-05
8721,Rags2Riches,Rod Wave Featuring ATR Son Son,12,12,8,22,2020-09-05
8722,Death Bed,Powfu Featuring beabadoobee,23,25,23,23,2020-09-05
8723,Blueberry Faygo,Lil Mosey,8,19,28,24,2020-09-05
8724,Die From A Broken Heart,Maddie & Tae,22,22,19,25,2020-09-05
8725,Mood,24kGoldn Featuring iann dior,26,84,2,26,2020-09-05
8726,Don't Start Now,Dua Lipa,2,26,42,27,2020-09-05
8727,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,29,7,28,2020-09-05
8728,The Bones,Maren Morris,12,28,48,29,2020-09-05
8729,One Margarita,Luke Bryan,19,21,16,30,2020-09-05
8730,Life Is Good,Future Featuring Drake,2,30,32,31,2020-09-05
8731,Wishing Well,Juice WRLD,5,27,6,32,2020-09-05
8732,Cardigan,Taylor Swift,1,24,4,33,2020-09-05
8733,Be Like That,Kane Brown With Swae Lee & Khalid,34,37,6,34,2020-09-05
8734,Smile,Juice WRLD & The Weeknd,8,8,2,35,2020-09-05
8735,Chasin' You,Morgan Wallen,16,38,30,36,2020-09-05
8736,Intentions,Justin Bieber Featuring Quavo,5,31,28,37,2020-09-05
8737,We Paid,Lil Baby & 42 Dugg,10,32,16,38,2020-09-05
8738,Cool Again,Kane Brown,39,40,12,39,2020-09-05
8739,Party Girl,StaySolidRocky,21,34,17,40,2020-09-05
8740,Tap In,Saweetie,41,44,6,41,2020-09-05
8741,Girls In The Hood,Megan Thee Stallion,28,35,8,42,2020-09-05
8742,Say So,Doja Cat Featuring Nicki Minaj,1,33,33,43,2020-09-05
8743,Rain On Me,Lady Gaga & Ariana Grande,1,36,13,44,2020-09-05
8744,Emotionally Scarred,Lil Baby,31,45,25,45,2020-09-05
8745,Got What I Got,Jason Aldean,46,47,12,46,2020-09-05
8746,The Box,Roddy Ricch,1,42,37,47,2020-09-05
8747,If The World Was Ending,JP Saxe Featuring Julia Michaels,48,48,21,48,2020-09-05
8748,Nobody's Love,Maroon 5,41,41,4,49,2020-09-05
8749,Why We Drink,Justin Moore,50,52,12,50,2020-09-05
8750,The Bigger Picture,Lil Baby,3,46,10,51,2020-09-05
8751,One Of Them Girls,Lee Brice,52,59,12,52,2020-09-05
8752,Lovin' On You,Luke Combs,53,56,8,53,2020-09-05
8753,My Future,Billie Eilish,6,39,3,54,2020-09-05
8754,I Love My Country,Florida Georgia Line,48,53,18,55,2020-09-05
8755,Like That,Doja Cat Featuring Gucci Mane,51,54,12,56,2020-09-05
8756,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",57,63,20,57,2020-09-05
8757,Kacey Talk,YoungBoy Never Broke Again,58,0,1,58,2020-09-05
8758,Said Sum,Moneybagg Yo,44,57,7,59,2020-09-05
8759,Greece,DJ Khaled Featuring Drake,8,58,5,60,2020-09-05
8760,Heather,Conan Gray,61,0,1,61,2020-09-05
8761,More Than My Hometown,Morgan Wallen,61,67,10,62,2020-09-05
8762,Done,Chris Janson,41,49,10,63,2020-09-05
8763,Bluebird,Miranda Lambert,26,55,20,64,2020-09-05
8764,I Should Probably Go To Bed,Dan + Shay,43,60,3,65,2020-09-05
8765,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,66,0,1,66,2020-09-05
8766,The 1,Taylor Swift,4,50,4,67,2020-09-05
8767,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,64,4,68,2020-09-05
8768,Bang!,AJR,69,69,7,69,2020-09-05
8769,God Whispered Your Name,Keith Urban,60,66,18,70,2020-09-05
8770,24,Money Man Featuring Lil Baby,71,0,1,71,2020-09-05
8771,Toosie Slide,Drake,1,68,20,72,2020-09-05
8772,Breaking Me,Topic & A7S,72,72,4,73,2020-09-05
8773,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,74,81,11,74,2020-09-05
8774,Girl Of My Dreams,Rod Wave,65,65,14,75,2020-09-05
8775,Kings & Queens,Ava Max,73,73,2,76,2020-09-05
8776,Pretty Heart,Parker McCollum,77,77,6,77,2020-09-05
8777,I Called Mama,Tim McGraw,78,89,3,78,2020-09-05
8778,Dollaz On My Head,Gunna Featuring Young Thug,38,74,11,79,2020-09-05
8779,One Night Standards,Ashley McBryde,76,76,11,80,2020-09-05
8780,ily,Surf Mesa Featuring Emilee,72,78,13,81,2020-09-05
8781,Exile,Taylor Swift Featuring Bon Iver,6,61,4,82,2020-09-05
8782,Martin & Gina,Polo G,61,0,3,83,2020-09-05
8783,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,87,4,84,2020-09-05
8784,Got It On Me,Pop Smoke,31,75,7,85,2020-09-05
8785,Some Girls,Jameson Rodgers,86,92,2,86,2020-09-05
8786,Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",62,70,11,87,2020-09-05
8787,After Party,Don Toliver,57,90,17,88,2020-09-05
8788,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,94,9,89,2020-09-05
8789,Stuck With U,Ariana Grande & Justin Bieber,1,79,15,90,2020-09-05
8790,Conversations,Juice WRLD,7,83,6,91,2020-09-05
8791,Caramelo,Ozuna x Karol G x Myke Towers,92,0,1,92,2020-09-05
8792,Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,10,80,6,93,2020-09-05
8793,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,93,93,2,94,2020-09-05
8794,B*tch From da Souf,Mulatto,95,95,2,95,2020-09-05
8795,Righteous,Juice WRLD,11,91,16,96,2020-09-05
8796,Past Life,Trevor Daniel x Selena Gomez,77,98,5,97,2020-09-05
8797,Something Special,Pop Smoke,41,88,7,98,2020-09-05
8798,21,Polo G,62,0,7,99,2020-09-05
8799,Lonely If You Are,Chase Rice,100,0,1,100,2020-09-05
8800,Dynamite,BTS,1,0,1,1,2020-09-12
8801,WAP,Cardi B Featuring Megan Thee Stallion,1,1,3,2,2020-09-12
8802,Laugh Now Cry Later,Drake Featuring Lil Durk,2,2,2,3,2020-09-12
8803,Rockstar,DaBaby Featuring Roddy Ricch,1,3,19,4,2020-09-12
8804,Blinding Lights,The Weeknd,1,4,39,5,2020-09-12
8805,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,5,29,6,2020-09-12
8806,Watermelon Sugar,Harry Styles,1,7,23,7,2020-09-12
8807,Roses,SAINt JHN,4,8,23,8,2020-09-12
8808,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,9,11,9,2020-09-12
8809,Before You Go,Lewis Capaldi,10,12,30,10,2020-09-12
8810,I Hope,Gabby Barrett Featuring Charlie Puth,10,10,35,11,2020-09-12
8811,Mood,24kGoldn Featuring iann dior,12,26,3,12,2020-09-12
8812,Go Crazy,Chris Brown & Young Thug,9,11,16,13,2020-09-12
8813,Break My Heart,Dua Lipa,13,13,22,14,2020-09-12
8814,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,17,8,15,2020-09-12
8815,Circles,Post Malone,1,16,52,16,2020-09-12
8816,Adore You,Harry Styles,6,15,38,17,2020-09-12
8817,Mood Swings,Pop Smoke Featuring Lil Tjay,17,19,8,18,2020-09-12
8818,Come & Go,Juice WRLD x Marshmello,2,18,7,19,2020-09-12
8819,Savage,Megan Thee Stallion,1,20,24,20,2020-09-12
8820,Popstar,DJ Khaled Featuring Drake,3,21,6,21,2020-09-12
8821,Die From A Broken Heart,Maddie & Tae,22,25,20,22,2020-09-12
8822,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,28,8,23,2020-09-12
8823,Death Bed,Powfu Featuring beabadoobee,23,23,24,24,2020-09-12
8824,The Bones,Maren Morris,12,29,49,25,2020-09-12
8825,Be Like That,Kane Brown With Swae Lee & Khalid,26,34,7,26,2020-09-12
8826,Don't Start Now,Dua Lipa,2,27,43,27,2020-09-12
8827,Rags2Riches,Rod Wave Featuring ATR Son Son,12,22,9,28,2020-09-12
8828,Blueberry Faygo,Lil Mosey,8,24,29,29,2020-09-12
8829,Lovin' On You,Luke Combs,30,53,9,30,2020-09-12
8830,Tap In,Saweetie,31,41,7,31,2020-09-12
8831,Wishing Well,Juice WRLD,5,32,7,32,2020-09-12
8832,Got What I Got,Jason Aldean,33,46,13,33,2020-09-12
8833,If The World Was Ending,JP Saxe Featuring Julia Michaels,34,48,22,34,2020-09-12
8834,Life Is Good,Future Featuring Drake,2,31,33,35,2020-09-12
8835,Cardigan,Taylor Swift,1,33,5,36,2020-09-12
8836,One Margarita,Luke Bryan,19,30,17,37,2020-09-12
8837,7 Summers,Morgan Wallen,6,6,2,38,2020-09-12
8838,Cool Again,Kane Brown,39,39,13,39,2020-09-12
8839,I Love My Country,Florida Georgia Line,40,55,19,40,2020-09-12
8840,Midnight Sky,Miley Cyrus,14,14,2,41,2020-09-12
8841,Intentions,Justin Bieber Featuring Quavo,5,37,29,42,2020-09-12
8842,Chasin' You,Morgan Wallen,16,36,31,43,2020-09-12
8843,We Paid,Lil Baby & 42 Dugg,10,38,17,44,2020-09-12
8844,Girls In The Hood,Megan Thee Stallion,28,42,9,45,2020-09-12
8845,One Of Them Girls,Lee Brice,46,52,13,46,2020-09-12
8846,Say So,Doja Cat Featuring Nicki Minaj,1,43,34,47,2020-09-12
8847,The Box,Roddy Ricch,1,47,38,48,2020-09-12
8848,Nobody's Love,Maroon 5,41,49,5,49,2020-09-12
8849,Heather,Conan Gray,50,61,2,50,2020-09-12
8850,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",51,57,21,51,2020-09-12
8851,Smile,Juice WRLD & The Weeknd,8,35,3,52,2020-09-12
8852,Party Girl,StaySolidRocky,21,40,18,53,2020-09-12
8853,The Bigger Picture,Lil Baby,3,51,11,54,2020-09-12
8854,Rain On Me,Lady Gaga & Ariana Grande,1,44,14,55,2020-09-12
8855,Like That,Doja Cat Featuring Gucci Mane,51,56,13,56,2020-09-12
8856,My Future,Billie Eilish,6,54,4,57,2020-09-12
8857,Said Sum,Moneybagg Yo,44,59,8,58,2020-09-12
8858,I Should Probably Go To Bed,Dan + Shay,43,65,4,59,2020-09-12
8859,Why We Drink,Justin Moore,50,50,13,60,2020-09-12
8860,I Called Mama,Tim McGraw,61,78,4,61,2020-09-12
8861,Greece,DJ Khaled Featuring Drake,8,60,6,62,2020-09-12
8862,24,Money Man Featuring Lil Baby,63,71,2,63,2020-09-12
8863,Bang!,AJR,64,69,8,64,2020-09-12
8864,Kacey Talk,YoungBoy Never Broke Again,58,58,2,65,2020-09-12
8865,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,66,66,2,66,2020-09-12
8866,More Than My Hometown,Morgan Wallen,61,62,11,67,2020-09-12
8867,God Whispered Your Name,Keith Urban,60,70,19,68,2020-09-12
8868,Need It,Migos Featuring YoungBoy Never Broke Again,62,0,13,69,2020-09-12
8869,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,68,5,70,2020-09-12
8870,Breaking Me,Topic & A7S,71,73,5,71,2020-09-12
8871,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,72,74,12,72,2020-09-12
8872,Kings & Queens,Ava Max,73,76,3,73,2020-09-12
8873,The Plan,Travis Scott,74,0,1,74,2020-09-12
8874,Pretty Heart,Parker McCollum,75,77,7,75,2020-09-12
8875,Done,Chris Janson,41,63,11,76,2020-09-12
8876,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,84,5,77,2020-09-12
8877,Some Girls,Jameson Rodgers,78,86,3,78,2020-09-12
8878,Hawai,Maluma & The Weeknd,79,0,1,79,2020-09-12
8879,One Night Standards,Ashley McBryde,76,80,12,80,2020-09-12
8880,Caramelo,Ozuna x Karol G x Myke Towers,81,92,2,81,2020-09-12
8881,ily,Surf Mesa Featuring Emilee,72,81,14,82,2020-09-12
8882,Martin & Gina,Polo G,61,83,4,83,2020-09-12
8883,Dollaz On My Head,Gunna Featuring Young Thug,38,79,12,84,2020-09-12
8884,The 1,Taylor Swift,4,67,5,85,2020-09-12
8885,My Ex's Best Friend,Machine Gun Kelly X blackbear,82,0,2,86,2020-09-12
8886,Girl Of My Dreams,Rod Wave,65,75,15,87,2020-09-12
8887,After Party,Don Toliver,57,88,18,88,2020-09-12
8888,Stuck With U,Ariana Grande & Justin Bieber,1,90,16,89,2020-09-12
8889,All In,YoungBoy Never Broke Again,90,0,1,90,2020-09-12
8890,Got It On Me,Pop Smoke,31,85,8,91,2020-09-12
8891,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,89,10,92,2020-09-12
8892,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,93,94,3,93,2020-09-12
8893,Lonely If You Are,Chase Rice,94,100,2,94,2020-09-12
8894,You Broke Me First.,Tate McRae,95,0,1,95,2020-09-12
8895,Spicy,Nas Featuring Fivio Foreign & A$AP Ferg,96,0,1,96,2020-09-12
8896,Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,10,93,7,97,2020-09-12
8897,Exile,Taylor Swift Featuring Bon Iver,6,82,5,98,2020-09-12
8898,B*tch From da Souf,Mulatto,95,95,3,99,2020-09-12
8899,21,Polo G,62,99,8,100,2020-09-12
8900,Dynamite,BTS,1,1,2,1,2020-09-19
8901,WAP,Cardi B Featuring Megan Thee Stallion,1,2,4,2,2020-09-19
8902,Laugh Now Cry Later,Drake Featuring Lil Durk,2,3,3,3,2020-09-19
8903,Rockstar,DaBaby Featuring Roddy Ricch,1,4,20,4,2020-09-19
8904,Blinding Lights,The Weeknd,1,5,40,5,2020-09-19
8905,Watermelon Sugar,Harry Styles,1,7,24,6,2020-09-19
8906,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,6,30,7,2020-09-19
8907,Mood,24kGoldn Featuring iann dior,8,12,4,8,2020-09-19
8908,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,9,12,9,2020-09-19
8909,Before You Go,Lewis Capaldi,10,10,31,10,2020-09-19
8910,Roses,SAINt JHN,4,8,24,11,2020-09-19
8911,I Hope,Gabby Barrett Featuring Charlie Puth,10,11,36,12,2020-09-19
8912,Ice Cream,BLACKPINK X Selena Gomez,13,0,1,13,2020-09-19
8913,Go Crazy,Chris Brown & Young Thug,9,13,17,14,2020-09-19
8914,Circles,Post Malone,1,16,53,15,2020-09-19
8915,Break My Heart,Dua Lipa,13,14,23,16,2020-09-19
8916,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,15,9,17,2020-09-19
8917,Adore You,Harry Styles,6,17,39,18,2020-09-19
8918,Come & Go,Juice WRLD x Marshmello,2,19,8,19,2020-09-19
8919,Mood Swings,Pop Smoke Featuring Lil Tjay,17,18,9,20,2020-09-19
8920,Tap In,Saweetie,21,31,8,21,2020-09-19
8921,Be Like That,Kane Brown With Swae Lee & Khalid,22,26,8,22,2020-09-19
8922,Don't Start Now,Dua Lipa,2,27,44,23,2020-09-19
8923,Popstar,DJ Khaled Featuring Drake,3,21,7,24,2020-09-19
8924,Die From A Broken Heart,Maddie & Tae,22,22,21,25,2020-09-19
8925,Lovin' On You,Luke Combs,26,30,10,26,2020-09-19
8926,If The World Was Ending,JP Saxe Featuring Julia Michaels,27,34,23,27,2020-09-19
8927,The Bones,Maren Morris,12,25,50,28,2020-09-19
8928,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,23,9,29,2020-09-19
8929,Savage,Megan Thee Stallion,1,20,25,30,2020-09-19
8930,Got What I Got,Jason Aldean,31,33,14,31,2020-09-19
8931,Rags2Riches,Rod Wave Featuring ATR Son Son,12,28,10,32,2020-09-19
8932,One Of Them Girls,Lee Brice,33,46,14,33,2020-09-19
8933,Rain On Me,Lady Gaga & Ariana Grande,1,55,15,34,2020-09-19
8934,Blueberry Faygo,Lil Mosey,8,29,30,35,2020-09-19
8935,Death Bed,Powfu Featuring beabadoobee,23,24,25,36,2020-09-19
8936,Midnight Sky,Miley Cyrus,14,41,3,37,2020-09-19
8937,Over Now,Calvin Harris X The Weeknd,38,0,1,38,2020-09-19
8938,Life Is Good,Future Featuring Drake,2,35,34,39,2020-09-19
8939,Wishing Well,Juice WRLD,5,32,8,40,2020-09-19
8940,Cool Again,Kane Brown,39,39,14,41,2020-09-19
8941,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",42,51,22,42,2020-09-19
8942,One Margarita,Luke Bryan,19,37,18,43,2020-09-19
8943,Girls In The Hood,Megan Thee Stallion,28,45,10,44,2020-09-19
8944,Cardigan,Taylor Swift,1,36,6,45,2020-09-19
8945,Say So,Doja Cat Featuring Nicki Minaj,1,47,35,46,2020-09-19
8946,Chasin' You,Morgan Wallen,16,43,32,47,2020-09-19
8947,Nobody's Love,Maroon 5,41,49,6,48,2020-09-19
8948,Intentions,Justin Bieber Featuring Quavo,5,42,30,49,2020-09-19
8949,We Paid,Lil Baby & 42 Dugg,10,44,18,50,2020-09-19
8950,Heather,Conan Gray,50,50,3,51,2020-09-19
8951,The Bigger Picture,Lil Baby,3,54,12,52,2020-09-19
8952,Like That,Doja Cat Featuring Gucci Mane,51,56,14,53,2020-09-19
8953,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,54,66,3,54,2020-09-19
8954,Party Girl,StaySolidRocky,21,53,19,55,2020-09-19
8955,7 Summers,Morgan Wallen,6,38,3,56,2020-09-19
8956,Starting Over,Chris Stapleton,57,0,1,57,2020-09-19
8957,Bang!,AJR,58,64,9,58,2020-09-19
8958,Smile,Juice WRLD & The Weeknd,8,52,4,59,2020-09-19
8959,Hawai,Maluma & The Weeknd,60,79,2,60,2020-09-19
8960,I Should Probably Go To Bed,Dan + Shay,43,59,5,61,2020-09-19
8961,I Love My Country,Florida Georgia Line,40,40,20,62,2020-09-19
8962,More Than My Hometown,Morgan Wallen,61,67,12,63,2020-09-19
8963,Said Sum,Moneybagg Yo,44,58,9,64,2020-09-19
8964,Greece,DJ Khaled Featuring Drake,8,62,7,65,2020-09-19
8965,God Whispered Your Name,Keith Urban,60,68,20,66,2020-09-19
8966,24,Money Man Featuring Lil Baby,63,63,3,67,2020-09-19
8967,My Ex's Best Friend,Machine Gun Kelly X blackbear,68,86,3,68,2020-09-19
