,artist,song,weeks_on_chart,peak_rank
289,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",GOSPEL,1,55
290,DaBaby Featuring Future & jetsonmade,LIGHTSKIN SHIT,1,53
291,DaBaby Featuring Kevin Gates,POP STAR,2,49
292,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,13,28
293,DaBaby Featuring Migos,RAW SHIT,2,51
294,DaBaby Featuring Offset,Baby Sitter,20,59
295,DaBaby Featuring Quavo,PICK UP,1,44
296,DaBaby Featuring Roddy Ricch,Rockstar,35,1
297,DaBaby Featuring Stunna 4 Vegas,REALLY,1,63
298,DaBaby Featuring Young Thug,Blind,9,74
299,DaBaby Featuring YoungBoy Never Broke Again,Jump,4,17
300,DaBaby x Stunna 4 Vegas,No Dribble,1,92
301,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,25,22
302,Dan + Shay,All To Myself,20,31
303,Dan + Shay,I Should Probably Go To Bed,20,42
304,Dan + Shay,Speechless,40,24
305,Dan + Shay,Take Me Home For Christmas,2,58
306,Dan + Shay,Tequila,50,21
307,Dan + Shay & Justin Bieber,"10,000 Hours",30,4
308,DaniLeigh Featuring Chris Brown,Easy,15,79
309,Darius Rucker,Beers And Sunshine,2,93
310,Darlene Love,Christmas (Baby Please Come Home),6,29
311,Dean Lewis,Be Alright,29,23
312,Dean Martin,Baby It's Cold Outside,1,45
313,Dean Martin,"Let It Snow, Let It Snow, Let It Snow",12,11
314,Demi Lovato,Anyone,2,34
315,Demi Lovato,I Love Me,10,18
316,Dierks Bentley,Living,16,51
317,Dierks Bentley Featuring Brothers Osborne,Burning Man,17,45
318,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,21,39
319,Doja Cat,Boss Bitch,1,100
320,Doja Cat,Candy,6,86
321,Doja Cat & Tyga,Juicy,20,41
322,Doja Cat Featuring Gucci Mane,Like That,18,50
323,Doja Cat Featuring Nicki Minaj,Say So,38,1
324,Don Toliver,After Party,20,57
325,Don Toliver,Cardigan,1,90
326,Don Toliver,No Idea,11,43
327,Don Toliver Featuring Quavo & Offset,HAD ENOUGH,2,52
328,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",Night Falls,1,84
329,Drake,Behind Barz,2,75
330,Drake,Club Paradise,1,85
331,Drake,Days In The East,1,95
332,Drake,Deep Pockets,1,32
333,Drake,Dreams Money Can Buy,1,68
334,Drake,From Florida With Love,1,45
335,Drake,How About Now,1,60
336,Drake,Landed,1,39
337,Drake,Losses,1,51
338,Drake,Omerta,2,35
339,Drake,The Motion,1,61
340,Drake,Time Flies,2,30
341,Drake,Toosie Slide,20,1
342,Drake,Trust Issues,1,58
343,Drake,War,1,52
344,Drake,When To Say When,1,35
345,Drake Featuring Chris Brown,Not You Too,1,25
346,Drake Featuring Fivio Foreign & Sosa Geek,Demons,2,34
347,Drake Featuring Future,Desires,2,27
348,Drake Featuring Giveon,Chicago Freestyle,12,14
349,Drake Featuring Lil Durk,Laugh Now Cry Later,18,2
350,Drake Featuring Playboi Carti,Pain 1993,3,7
351,Drake Featuring Rick Ross,Money In The Grave,23,7
352,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",Costa Rica,1,75
353,"Dreamville Featuring J. Cole, Lute & DaBaby",Under The Sun,3,44
354,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",Down Bad,2,64
355,Dua Lipa,Break My Heart,32,13
356,Dua Lipa,Don't Start Now,52,2
357,Dua Lipa,Physical,2,60
358,Dua Lipa Featuring DaBaby,Levitating,11,20
359,Dustin Lynch,Good Girl,15,44
