,desc_keywords
908,"{'low': 1, 'preview': 1, 'baby': 1, 'instagram': 1, 'march': 1, 'announcement': 1, 'upcoming': 1, 'mixtape': 1, 'lamborghini': 1, 'boys': 1}"
909,"{'humble': 1, 'preview': 1, 'baby': 1, 'march': 1, 'snippet': 1, 'post': 1, 'instagram': 1, 'tease': 1, 'deluxe': 1, 'version': 1, 'sophomore': 1, 'studio': 1, 'album': 1, 'turn': 1}"
910,"{'song': 4, 'choose': 2, 's': 2, 'guess': 1, 'timing': 1, 'fun': 1, 'look': 1, 'perform': 1, 'fan': 1, 'like': 1, 'write': 1, 'rest': 1, 'life': 1, 'wait': 1, 'want': 1, 'hear': 1, 'hero': 1, 'george': 1, 'strait': 1, 'care': 1, 'platform': 1, 'tell': 1, 'world': 1, 'freak': 1, 'particular': 1}"
911,{}
912,"{'collaboration': 3, 'global': 2, 'share': 2, 'tweet': 2, 'stick': 1, 'u': 1, 'inspire': 1, 'lockdown': 1, 'coronavirus': 1, 'covid-19': 1, 'outbreak': 1, 'sale': 1, 'stream': 1, 'song': 1, 'proceed': 1, 'responders': 1, 'childrens': 1, 'foundation': 1, 'support': 1, 'grant': 1, 'scholarship': 1, 'child': 1, 'line': 1, 'essential': 1, 'worker': 1, 'pandemic': 1, 'rumor': 1, 'arise': 1, 'scooter': 1, 'braun': 1, 'ariana': 1, 'justins': 1, 'manager': 1, 'artist': 1, 'tag': 1, 'bieber': 1, 'instrumental': 1, 'instagram': 1, 'day': 1, 'ask': 1, 'fan': 1, 'participate': 1, 'prom': 1, 'video': 1, 'grande': 1, 'announce': 1, 'twitter': 1}"
913,"{'track': 3, 'release': 3, 'gooba': 2, 'single': 2, 'case': 2, 'april': 2, 'early': 2, 'confirm': 2, 'video': 2, 'brooklyn': 1, 'rapper': 1, 'infamous': 1, 'september': 1, 'testimony': 1, 'united': 1, 'states': 1, 'trey': 1, 'bloods': 1, 'come': 1, 'week': 1, 'compassionate': 1, 'sars': 1, 'cov-2': 1, 'outbreak': 1, 'america': 1, 'address': 1, 'people': 1, 'comment': 1, 'deal': 1, 'charge': 1, 'aforementioned': 1, 'court': 1, 'rumor': 1, 'begin': 1, 'tekashi': 1, 'seek': 1, 'receive': 1, 'permission': 1, 'federal': 1, 'judge': 1, 'shoot': 1, 'music': 1, 'backyard': 1, 'residence': 1, 'billboard': 1, 'times': 1, 'square': 1, 'upcoming': 1, 'day': 1, 'end': 1, 'song': 1, 'break': 1, 'record': 1, 'view': 1, 'hip': 1, 'hop': 1, 'hour': 1, 'set': 1, 'eminem': 1}"
914,"{'headed': 2, 'goat': 2, 'lil': 2, 'durk': 1, 'collaborate': 1, 'baby': 1, 'fellow': 1, 'chicago': 1, 'native': 1, 'polo': 1, 'g.': 1, 'title': 1, 'song': 1, 'allude': 1, 'acronym': 1, 'g.o.a.t': 1, 'greatest': 1, 'time': 1, 'describe': 1, 'artist': 1, 'shine': 1, 'respective': 1, 'way': 1, 'track': 1, 'underestimate': 1}"
915,"{'good': 2, 'describe': 2, 'kehlani': 1, 'team': 1, 'canadian': 1, 'rapper': 1, 'singer': 1, 'tory': 1, 'lanez': 1, 'time': 1, 'standout': 1, 'track': 1, 'sophomore': 1, 'studio': 1, 'album': 1, 'sing': 1, 'sexual': 1, 'endeavor': 1, 'desire': 1, 'feel': 1, 'use': 1, 'metaphorical': 1, 'word': 1, 'process': 1}"
916,"{'zoo': 4, 'york': 4, 'tjay': 3, 'lil': 2, 'city': 2, 'fivio': 1, 'foreign': 1, 'pop': 1, 'smoke': 1, 'detail': 1, 'crazed': 1, 'hometown': 1, 'new': 1, 'drop': 1, 'reference': 1, 'weaponry': 1, 'expensive': 1, 'item': 1, 'girl': 1, 'boast': 1, 'strength': 1, 'gain': 1, 'use': 1, 'metaphor': 1, 'home': 1, 'likely': 1, 'illustrate': 1, 'havoc': 1, 'animal': 1, 'tease': 1, 'snippet': 1, 'post': 1, 'twitter': 1, 'instagram': 1, 'tweet': 1, 'caption': 1, 'bitch': 1, 'dropping': 1, 'friday': 1, 'rt': 1, 'quote': 1, 'yall': 1, 'ready': 1}"
917,"{'release': 3, 'toxic': 2, 'fan': 2, 'song': 2, 'californian': 1, 'kehlani': 1, 'send': 1, 'chill': 1, 'haunting': 1, 'reflect': 1, 'old': 1, 'relationship': 1, 'quick': 1, 'speculate': 1, 'split': 1, 'rapper': 1, 'yg': 1, 'deny': 1, 'rumour': 1, 'state': 1, 'appreciate': 1, 'speculation': 1, 'mean': 1, 'expect': 1, 'vulnerable': 1, 'honest': 1, 'march': 1, 'serve': 1, 'second': 1, 'studio': 1, 'album': 1, 'good': 1, 'come': 1, 'month': 1, 'ty': 1, 'dolla': 1, 'ign': 1, 'uncredited': 1, 'appearance': 1, 'background': 1, 'vocal': 1}"
918,"{'crazy': 2, 'chris': 2, 'woman': 2, 'sample': 2, 'thugger': 1, 'sing': 1, 'trade': 1, 'bar': 1, 'familiar': 1, 'topic': 1, 'sex': 1, 'particular': 1, 'tryst': 1, 'secret': 1, 'shy': 1, 'freaky': 1, 'bed': 1, 'track': 1, 'showboys': 1, 'popular': 1, 'january': 1, 'single': 1, 'drag': 1, 'rap': 1, 'triggerman': 1, 'june': 1, 'emerald': 1, 'burgundy': 1, 'executive': 1, 'producer': 1, 'hoodybaby': 1, 'share': 1, 'snippet': 1, 'delete': 1, 'instagram': 1, 'april': 1}"
919,"{'album': 6, 'verse': 5, 'feature': 3, 'release': 3, 'jhené': 3, 'song': 3, 'kehlanis': 2, 'music': 2, 'video': 2, 'aiko': 2, 'plan': 2, 'love': 2, 'change': 1, 'life': 1, 'sixth': 1, 'track': 1, 'sophomore': 1, 'good': 1, 'hint': 1, 'previous': 1, 'single': 1, 'keyshia': 1, 'cole': 1, 'february': 1, '13th': 1, 'omit': 1, 'coles': 1, 'version': 1, 'los': 1, 'angeles': 1, 'r&b': 1, 'singer': 1, 'livestream': 1, 'youtube': 1, 'khelani': 1, 'short': 1, 'close': 1, 'view': 1, 'look': 1, 'advice': 1, 'navigate': 1, 'public': 1, 'space': 1, 'respect': 1, 'honor': 1, 'yo': 1, 'hop': 1, 'think': 1, 'ask': 1, 'perfect': 1, 'open': 1, 'send': 1, 'quick': 1, 's': 1, 'perfectionist': 1, 'cause': 1, 'want': 1, 'sure': 1, 'day': 1, 'come': 1, 'm': 1, 'glad': 1, 'happen': 1}"
920,"{'moneybagg': 1, 'yo': 1, 'rap': 1, 'wealth': 1, 'success': 1, 'competition': 1}"
921,{}
922,"{'juice': 4, 'polo': 3, 'g': 3, 'wrld': 3, 'release': 3, 'track': 2, 'feature': 2, 'song': 2, 'flex': 1, 'link': 1, 'fellow': 1, 'chicago': 1, 'rapper': 1, 'deliver': 1, 'braggadocios': 1, 'bar': 1, 'lifestyle': 1, 'success': 1, 'music': 1, 'industry': 1, 'mark': 1, 'collaboration': 1, 'artist': 1, 'wrlds': 1, 'hate': 1, 'july': 1, 'state': 1, 'interview': 1, 'complex': 1, 'news': 1, 'excited': 1, 'sophomore': 1, 'album': 1, 'goat': 1, 'serve': 1, 'sixth': 1, 'posthumous': 1, 'follow': 1, 'juices': 1, 'april': 1, 'single': 1, 'ame': 1, 'rvssian': 1, 'anuel': 1, 'aa': 1, 'righteous': 1}"
923,"{'song': 7, 'produce': 4, 'future': 3, 'travis': 3, 'bar': 2, 'release': 2, 'solitaires': 1, 'reunite': 1, 'scott': 1, 'trade': 1, 'boastful': 1, 'luxurious': 1, 'lifestyle': 1, 'luxury': 1, 'fashion': 1, 'brand': 1, 'afford': 1, 'jewelry': 1, 'car': 1, 'drop': 1, 'covid-19': 1, 'pandemic': 1, 'ongoing': 1, 'disease': 1, 'time': 1, 'compare': 1, 'diamond': 1, 'instrumental': 1, 'wheezy': 1, 'co': 1, 'mike': 1, 'dean': 1, 'snippet': 1, 'surface': 1, 'public': 1, 'hour': 1, 'play': 1, 'studio': 1}"
924,"{'song': 3, 'release': 3, 'video': 3, 'people': 2, 'x': 1, 'mark': 1, 'jonas': 1, 'brothers': 1, 'collaboration': 1, 'colombian': 1, 'singer': 1, 'songwriter': 1, 'karol': 1, 'g.': 1, 'boy': 1, 'minutes': 1, 'track': 1, 'pack': 1, 'bundle': 1, 'title': 1, 'xv': 1, 'similar': 1, 'brother': 1, 'january': 1, 'single': 1, 'man': 1, 'upbeat': 1, 'vibe': 1, 'bollywood': 1, 'inspire': 1, 'official': 1, 'music': 1, 'premiere': 1, 'band': 1, 'youtube': 1, 'channel': 1, 'day': 1, 'dance': 1, 'camera': 1, 'separate': 1, 'iphone': 1, 'covid-19': 1, 'pandemic': 1, 'time': 1, 'kill': 1, 'lot': 1, 'appropriate': 1, 'action': 1, 'quarantine': 1, 'home': 1}"
925,"{'trillionaire': 1, 'future': 1, 'youngboy': 1, 'break': 1, 'reunite': 1, 'youngboys': 1, 'march': 1, 'track': 1, 'wrong': 1, 'tell': 1, 'rag': 1, 'rich': 1, 'story': 1, 'describe': 1, 'come': 1, 'rap': 1, 'industry': 1, 'discuss': 1, 'hometown': 1, 'gang': 1, 'wealth': 1}"
926,"{'song': 3, 'new': 2, 'american': 2, 'katy': 2, 'production': 2, 'work': 2, 'mark': 1, 'start': 1, 'era': 1, 'daisy': 1, 'self': 1, 'empowerment': 1, 'anthem': 1, 'singer': 1, 'songwriter': 1, 'perry': 1, 'track': 1, 'release': 1, 'social': 1, 'medium': 1, 'platform': 1, 'share': 1, 'inspiration': 1, 'write': 1, 'couple': 1, 'month': 1, 'remain': 1, 'true': 1, 'course': 1, 'set': 1, 'think': 1, 'elaborate': 1, 'meaning': 1, 'world': 1, 'lockdown': 1, 'covid-19': 1, 'pandemic': 1, 'past': 1, 'lead': 1, 'single': 1, 'tend': 1, 'upbeat': 1, 'bubbly': 1, 'daisies': 1, 'feature': 1, 'mid': 1, 'tempo': 1, 'verse': 1, 'guitar': 1, 'chorus': 1, 'katys': 1, 'time': 1, 'monsters': 1, 'strangerz': 1, 'songwriting': 1, 'team': 1, 'hit': 1, 'january': 1, 'middle': 1}"
927,"{'life': 3, 'intro': 1, 'high': 1, 'future': 1, 'open': 1, 'come': 1, 'compare': 1, 'old': 1, 'new': 1}"
928,"{'track': 4, 'future': 2, 'lifestyle': 2, 'release': 2, 'company': 2, 'url': 2, 'bad': 1, 'lil': 1, 'uzi': 1, 'vert': 1, 'boast': 1, 'massive': 1, 'female': 1, 'glamorous': 1, 'come': 1, 'fame': 1, 'feature': 1, 'light': 1, 'twinkly': 1, 'beat': 1, 'fan': 1, 'note': 1, 'similar': 1, 'uzis': 1, 'march': 1, 'celebration': 1, 'station': 1, 'hour': 1, 'high': 1, 'life': 1, 'collaboration': 1, 'mschf': 1, 'know': 1, 'early': 1, 'exclusive': 1, 'drop': 1, 'product': 1, 'sneaker': 1, 'clothing': 1, 'license': 1, 'highoff.shopping': 1, 'web': 1, 'page': 1, 'minute': 1}"
929,"{'polo': 1, 'g': 1, 'lil': 1, 'baby': 1, 'recount': 1, 'goal': 1, 'young': 1, 'boy': 1, 'wrap': 1, 'difficult': 1, 'time': 1, 'drop': 1, 'reference': 1, 'new': 1, 'watch': 1, 'car': 1, 'expensive': 1, 'item': 1, 'boast': 1, 'newfound': 1, 'rich': 1, 'lifestyle': 1, 'reminisce': 1}"
930,"{'martin': 2, 'heartfelt': 1, 'song': 1, 'polo': 1, 'g': 1, 'relate': 1, 'current': 1, 'relationship': 1, 'girlfriend': 1, 'gina': 1, 'couple': 1, 'tv': 1, 'sitcom': 1, 'drop': 1, 'reference': 1, 'designer': 1, 'clothe': 1, 'expensive': 1, 'item': 1, 'boast': 1, 'improve': 1, 'girl': 1, 'lifestyle': 1}"
931,"{'polo': 7, 'video': 6, 'cole': 4, 'bennett': 4, 'g': 3, 'music': 3, 'project': 3, 'track': 2, '21st': 2, 'birthday': 2, 'reference': 2, 'late': 2, 'rapper': 2, 'juice': 2, 'day': 2, 'lyrical': 2, 'lemonade': 2, 'tease': 2, 'g.': 2, 'june': 2, 'release': 2, 'true': 2, 'cut': 2, 'rap': 1, 'fame': 1, 'base': 1, 'lifestyle': 1, 'drop': 1, 'weaponry': 1, 'expensive': 1, 'item': 1, 'boast': 1, 'status': 1, 'life': 1, 'pay': 1, 'homage': 1, 'friend': 1, 'appear': 1, 'flex': 1, 'goatwithin': 1, 'express': 1, 'dislike': 1, 'drug': 1, 'addiction': 1, 'january': 1, 'polos': 1, 'extended': 1, 'snippet': 1, 'leak': 1, 'youtube': 1, 'soundcloud': 1, 'founder': 1, 'famous': 1, 'producer': 1, 'industry': 1, 'work': 1, 'collaboration': 1, 'post': 1, 'caption': 1, 'picture': 1, 'official': 1, 'direct': 1, 'shot': 1, 'film': 1, 'find': 1, 'dodge': 1, 'bullet': 1, 'chase': 1, 'mask': 1, 'intruder': 1, 'feature': 1, 'multiple': 1, 'wrld': 1, 'tribute': 1, 'follow': 1, 'speak': 1, 'production': 1, 'star': 1, 'thankful': 1, 'involve': 1}"
932,"{'8th': 2, 'choose': 1, 'song': 1, 'futures': 1, 'studio': 1, 'album': 1, 'boast': 1, 'luxurious': 1, 'clothing': 1, 'amazing': 1, 'life': 1, 'track': 1, 'release': 1, '15th': 1}"
933,"{'future': 3, 'bank': 2, 'ridin': 1, 'strikers': 1, 'rap': 1, 'send': 1, 'shooter': 1, 'deal': 1, 'opposition': 1, 'instrumental': 1, 'sound': 1, 'reminiscent': 1, 'ds2': 1, 'day': 1, 'fitting': 1, 'consider': 1, 'produce': 1, 'southside': 1, 'atl': 1, 'jacob': 1, 'track': 1, 'feature': 1, 'new': 1, 'report': 1, 'style': 1, 'interlude': 1, 'counterpart': 1, 'follow': 1, 'beat': 1, 'switch': 1, 'ominous': 1, 'slow': 1, 'piano': 1, 'prepare': 1, 'rob': 1, 'pour': 1, 'drink': 1}"
934,"{'syrup': 4, 'hitek': 3, 'tek': 3, 'future': 3, 'reference': 3, 'cough': 3, 'habit': 2, 'hi': 2, 'manufacturer': 2, 'atl': 1, 'jacob': 1, 'produce': 1, 'check': 1, 'familiar': 1, 'topic': 1, 'riches': 1, 'woman': 1, 'drug': 1, 'title': 1, 'lean': 1, 'concoction': 1, 'prescription': 1, 'soda': 1, 'tech': 1, 'pharmaceutical': 1, 'difference': 1, 'activis': 1, 'color': 1, 'red': 1, 'purple': 1, 'second': 1, 'verse': 1, 'canvass': 1, 'opioid': 1, 'track': 1, 'codeine': 1, 'crazy': 1, 'album': 1, 'ds2': 1}"
935,"{'track': 3, 'song': 3, 'comfortable': 2, 'female': 2, 'future': 2, 'ode': 1, 'disrespectful': 1, 'place': 1, 'chorus': 1, 'warn': 1, 'unnamed': 1, 'current': 1, 'girlfriend': 1, 'luxury': 1, 'come': 1, 'date': 1, 'designer': 1, 'clothe': 1, 'foreign': 1, 'car': 1, 'rap': 1, 'moment': 1, 'notice': 1, 'disrespect': 1, 'street': 1, 'produce': 1, 'frequent': 1, 'collaborator': 1, 'vou': 1, 'southside': 1, 'moderate': 1, 'commercial': 1, 'success': 1, 'debut': 1, 'billboard': 1, 'hot': 1, 'week': 1, 'follow': 1, 'high': 1, 'lifes': 1, 'release': 1, 'instrumental': 1, 'interpolate': 1, 'ddgs': 1, 'moonwalke': 1, 'calabasas': 1}"
936,{}
937,"{'touch': 1, 'sky': 1, 'ode': 1, 'futures': 1, 'wealthy': 1, 'status': 1, 'rap': 1, 'penthouse': 1, 'house': 1, 'designer': 1, 'clothing': 1, 'high': 1, 'end': 1, 'car': 1, 'hit': 1, 'production': 1, 'southside': 1}"
938,{}
939,"{'track': 2, 'dance': 2, 'harlem': 2, 'moody': 1, 'wheezy': 1, 'beat': 1, 'future': 1, 'link': 1, 'frequent': 1, 'collaborator': 1, 'fellow': 1, 'atlantian': 1, 'young': 1, 'thug': 1, 'title': 1, 'refer': 1, 'originate': 1, '1980': 1, 'new': 1, 'york': 1, 'gain': 1, 'worldwide': 1, 'popularity': 1, 'baauers': 1, 'song': 1, 'shake': 1, 'associated': 1, 'meme': 1, 'use': 1, 'describe': 1, 'jerk': 1, 'spasm': 1, 'body': 1, 'shot': 1}"
940,"{'rap': 2, 'opener': 1, 'goat': 1, 'polo': 1, 'g': 1, 'struggle': 1, 'past': 1, 'drug': 1, 'weaponry': 1, 'support': 1, 'drop': 1, 'reference': 1, 'expensive': 1, 'watch': 1, 'item': 1, 'boast': 1, 'hater': 1, 'game': 1}"
941,"{'polo': 2, 'beautiful': 1, 'pain': 1, 'find': 1, 'love': 1, 'strike': 1, 'g': 1, 'lose': 1, 'mind': 1, 'sing': 1, 'die': 1, 'sun': 1, 'shine': 1, 'presence': 1, 'girl': 1, 'song': 1, 'tease': 1, 'social': 1, 'medium': 1, 'murda': 1, 'beatz': 1, '26th': 1, 'april3': 1, 'week': 1, 'album': 1, 'release': 1}"
942,"{'polo': 1, 'g': 1, 'rap': 1, 'pace': 1, 'track': 1, 'weaponry': 1, 'drug': 1, 'past': 1, 'title': 1, 'pay': 1, 'homage': 1, 'nba': 1, 'superstar': 1, 'scottie': 1, 'pippen': 1, 'wear': 1, 'number': 1, 'career': 1}"
943,"{'issue': 2, 'know': 1, 'polo': 1, 'g': 1, 'rap': 1, 'past': 1, 'grow': 1, 'city': 1, 'chicago': 1, 'struggle': 1, 'mental': 1, 'anxiety': 1, 'abuse': 1, 'poverty': 1, 'loss': 1, 'people': 1, 'close': 1, 'mention': 1, 'find': 1, 'good': 1, 'girl': 1, 'fame': 1, 'money': 1}"
944,"{'rain': 3, 'collaboration': 3, 'album': 2, 'gaga': 2, 'song': 2, 'd': 2, 'persevere': 1, 'trouble': 1, 'find': 1, 'solace': 1, 'comfort': 1, 'fact': 1, 'thing': 1, 'second': 1, 'single': 1, 'chromatica': 1, 'gagas': 1, 'sixth': 1, 'studio': 1, 'mark': 1, 'lady': 1, 'ariana': 1, 'grande': 1, 'confirm': 1, 'twitter': 1, 'account': 1, 'april': 1, 'track': 1, 'reveal': 1, 'official': 1, 'cover': 1, 'release': 1, 'date': 1, 'express': 1, 'meaning': 1, 'vulture': 1, 'analog': 1, 'tear': 1, 'know': 1, 'metaphor': 1, 'drinking': 1, 'numb': 1, 'dry': 1, 'drink': 1, 'die': 1, 'm': 1, 'alive': 1}"
945,"{'thug': 3, 'track': 3, 'gunnas': 2, 'song': 2, 'release': 2, 'dollaz': 1, 'head': 1, 'collaboration': 1, 'gunna': 1, 'young': 1, 'tease': 1, 'instagram': 1, 'live': 1, 'video': 1, 'march': 1, 'verse': 1, 'preview': 1, 'wunna': 1, 'documentary': 1, 'publish': 1, 'day': 1, 'album': 1, 'reveal': 1, 'early': 1, 'draft': 1, 'list': 1}"
946,{}
947,"{'travis': 6, 'track': 4, 'floor': 3, 'gunna': 3, 'hot': 2, 'feature': 2, 'reunite': 1, 'scott': 1, 'melodic': 1, 'expensive': 1, 'lifestyle': 1, 'clothing': 1, 'car': 1, 'jewelry': 1, 'trumpet': 1, 'pattern': 1, 'reminiscent': 1, 'young': 1, 'thug': 1, 'august': 1, 'official': 1, 'remix': 1, 'october': 1, 'produce': 1, 'wheezy': 1, 'quasi': 1, 'sequel': 1, 'december': 1, 'dj': 1, 'chase': 1, 'b': 1, 'preview': 1, 'instagram': 1, 'unknown': 1, 'song': 1, 'live': 1, 'stream': 1, 'tease': 1, 'occur': 1, 'day': 1, 'record': 1, 'label': 1, 'cactus': 1, 'jack': 1, 'release': 1, 'compilation': 1, 'project': 1, 'debut': 1, 'verse': 1, 'chorus': 1, 'add': 1, 'contribution': 1, 'later': 1, 'date': 1}"
948,"{'song': 5, 'wunna': 2, 'album': 2, 'second': 1, 'single': 1, 'titular': 1, 'gunnas': 1, 'sophomore': 1, 'studio': 1, 'longtime': 1, 'nickname': 1, 'atlanta': 1, 'rapper': 1, 'refer': 1, 'gunwunna': 1, 'gunnawunna': 1, 'year': 1, 'turn': 1, 'acronym': 1, 'stand': 1, 'wealthy': 1, 'unapologetic': 1, 'nigga': 1, 'authentic': 1, 'tease': 1, 'turbo': 1, 'produce': 1, 'instrumental': 1, 'include': 1, 'teaser': 1, 'march': 1, 'snippet': 1, 'intro': 1, 'appear': 1, 'april': 1, 'leak': 1, 'release': 1}"
949,"{'blindfold': 1, 'gunna': 1, 'recruit': 1, 'fellow': 1, 'atlanta': 1, 'native': 1, 'frequent': 1, 'collaborator': 1, 'friend': 1, 'lil': 1, 'baby': 1, 'rise': 1, 'star': 1, 'discuss': 1, 'ability': 1, 'luxury': 1}"
950,"{'rap': 2, 'need': 1, 'migos': 1, 'connect': 1, 'youngboy': 1, 'break': 1, 'violent': 1, 'lifestyle': 1, 'protect': 1, 'yb': 1, 'tease': 1, 'song': 1, 'video': 1, 'post': 1, 'twitter': 1, 'january': 1, 'offset': 1, 'record': 1, 'contribution': 1, 'track': 1}"
951,"{'gunna': 2, 'track': 2, 'argentina': 1, 'detail': 1, 'foreign': 1, 'girl': 1, 'expensive': 1, 'item': 1, 'drop': 1, 'multiple': 1, 'designer': 1, 'brand': 1, 'open': 1, 'wunna': 1, 'dedicate': 1, 'wealth': 1, 'fame': 1, 'january': 1, 'tease': 1, 'snippet': 1, 'instagram': 1, 'story': 1}"
952,"{'met': 2, 'gala': 2, 'gunna': 2, 'feature': 1, 'rap': 1, 'girl': 1, 'treat': 1, 'use': 1, 'reference': 1, 'red': 1, 'carpet': 1, 'event': 1, 'showcase': 1, 'fame': 1, 'success': 1, 'life': 1, 'drop': 1, 'multiple': 1, 'different': 1, 'designer': 1, 'brand': 1, 'boast': 1, 'wealth': 1, 'tease': 1, 'track': 1, 'snippet': 1, 'december': 1}"
954,"{'nasty': 2, 'girl': 2, 'camera': 2, 'woman': 2, 'thriller': 1, 'wunna': 1, 'song': 1, 'title': 1, 'read': 1, 'phrase': 1, 'split': 1, 'distinctive': 1, 'gunna': 1, 'encounter': 1, 'career': 1, 'discuss': 1, 'provocative': 1, 'act': 1, 'engage': 1, 'transition': 1, 'sexual': 1, 'trope': 1, 'emphasize': 1, 'desire': 1, 'film': 1, 'partake': 1, 'intimate': 1, 'activity': 1}"
955,"{'song': 3, 'wunna': 2, 'gunna': 2, 'video': 2, 'motw': 1, 'track': 1, 'gunnas': 1, 'album': 1, 'refer': 1, 'money': 1, 'way': 1, 'acronym': 1, 'title': 1, 'double': 1, 'meaning': 1, 'interpret': 1, 'watch': 1, 'preview': 1, 'procuder': 1, 'wheezys': 1, 'instagram': 1, 'story': 1, 'post': 1, 'screenshot': 1, 'send': 1, 'mp3': 1, 'file': 1, 'late': 1, 'snippet': 1, 'feature': 1, 'documentary': 1, 'hear': 1}"
956,"{'gimmick': 1, 'gunna': 1, 'continue': 1, 'theme': 1, 'wunna': 1, 'flex': 1, 'fame': 1, 'hater': 1, 'drop': 1, 'reference': 1, 'designer': 1, 'brand': 1, 'balmain': 1, 'boast': 1, 'opposer': 1, 'rap': 1, 'game': 1}"
957,"{'gunna': 2, 'feigning': 1, 'detail': 1, 'money': 1, 'drug': 1, 'fame': 1, 'drop': 1, 'different': 1, 'reference': 1, 'expensive': 1, 'item': 1, 'continue': 1, 'theme': 1, 'wunna': 1, 'boast': 1, 'earning': 1, 'snippet': 1, 'track': 1, 'preview': 1, 'young': 1, 'thugs': 1, 'instagram': 1, 'story': 1, 'february': 1, '26th': 1, 'delete': 1}"
958,"{'hit': 2, 'lyric': 1, 'love': 1, 'baby': 1, 'complete': 1, 'repurposement': 1, 'chorus': 1, 'frankie': 1, 'vallis': 1, 'smash': 1, 'eyes': 1, 'emilee': 1, 'floods': 1, 'voice': 1, 'surf': 1, 'mesa': 1, 'transform': 1, 'track': 1, 'new': 1, '21st': 1, 'century': 1}"
959,"{'gaga': 4, 'release': 3, 'chromatica': 3, 'song': 3, 'collaboration': 2, 'girl': 2, 'blackpink': 2, 'album': 2, 'rumor': 2, 'april': 2, 'tracklist': 2, 'sour': 1, 'candy': 1, 'mark': 1, 'american': 1, 'singer': 1, 'songwriter': 1, 'lady': 1, 'south': 1, 'korean': 1, 'group': 1, 'pre': 1, 'track': 1, 'gagas': 1, 'anticipate': 1, 'sixth': 1, 'studio': 1, 'sassy': 1, 'pop': 1, 'perform': 1, 'house': 1, 'beat': 1, 'warn': 1, 'partner': 1, 'accept': 1, 'flaw': 1, 'try': 1, 'change': 1, 'surface': 1, 'target': 1, 'display': 1, 'website': 1, 'rest': 1, '21st': 1, 'unveil': 1, 'official': 1, 'announce': 1, 'social': 1, 'medium': 1, 'platform': 1, 'day': 1, 'drop': 1, 'leak': 1, 'circulate': 1, 'hour': 1, 'country': 1}"
960,"{'track': 8, 'juice': 3, 'feature': 3, 'juices': 3, 'release': 3, 'mark': 2, 'trippie': 2, 'month': 2, 'tease': 2, 'hour': 2, 'tell': 1, 'u': 1, 'luv': 1, 'collaboration': 1, 'rapper': 1, 'wrld': 1, 'redd': 1, 'diving': 1, 'usual': 1, 'topic': 1, 'drug': 1, 'girl': 1, 'detail': 1, 'desire': 1, 'respective': 1, 'significant': 1, 'song': 1, 'perform': 1, 'concert': 1, 'late': 1, 'january': 1, 'passing': 1, 'length': 1, 'leak': 1, 'soundcloud': 1, 'remove': 1, 'copyright': 1, 'ground': 1, 'following': 1, 'surface': 1, 'youtube': 1, 'label': 1, 'instagram': 1, 'ally': 1, 'lottis': 1, 'birthday': 1, 'indicate': 1, 'lotti': 1, 'kid': 1, 'laroi': 1, 'mentee': 1, 'line': 1, 'tweet': 1, 'seventh': 1, 'time': 1, 'vocal': 1, 'death': 1, 'follow': 1, 'polo': 1, 'gs': 1, 'flex': 1}"
962,"{'got': 2, 'album': 2, 'jason': 2, 'song': 2, 'fan': 2, 'second': 1, 'single': 1, 'release': 1, 'jasons': 1, 'accord': 1, 'wife': 1, 'brittanys': 1, 'favorite': 1, 'like': 1, 'pop': 1, 'sound': 1, 'stuff': 1, 's': 1, 'kind': 1, 'hip': 1, 'hop': 1, 'big': 1, 'rock': 1, 'roll': 1, 'different': 1, 'sounding': 1, 'explain': 1, 'people': 1, 'view': 1, 'thing': 1, 'life': 1, 'mistake': 1, 'long': 1, 'want': 1}"
963,{}
964,"{'tokyo': 3, 'drift': 3, 'fast': 2, 'furious': 2, 't.d': 1, 'short': 1, 'sample': 1, 'iconic': 1, 'theme': 1, 'song': 1, 'teriyaki': 1, 'boyz': 1, 'title': 1, 'film': 1, 'track': 1, 'preview': 1, 'yachty': 1, 'play': 1, 'chorus': 1, 'rockys': 1, 'verse': 1, 'snippet': 1, 'tylers': 1, 'concert': 1}"
965,"{'alice': 3, 'alices': 2, 'life': 2, 'track': 2, 'gaga': 2, 'peace': 2, 'pay': 1, 'homage': 1, 'novel': 1, 'adventures': 1, 'wonderland': 1, 'popularize': 1, 'animated': 1, 'film': 1, 'adaptation': 1, 'tale': 1, 'young': 1, 'fall': 1, 'asleep': 1, 'wake': 1, 'conceptualize': 1, 'fantastical': 1, 'world': 1, 'brim': 1, 'imaginary': 1, 'anthropomorphic': 1, 'character': 1, 'represent': 1, 'obstacle': 1, 'overcome': 1, 'connect': 1, 'inability': 1, 'find': 1, 'need': 1, 'survive': 1, 'hardship': 1, 'grow': 1, 'maintain': 1, 'mind': 1, 'think': 1, 'gagas': 1, 'childhood': 1, 'dog': 1, 'pass': 1, 'deny': 1, 'reveal': 1, 'lyric': 1, 'interview': 1, 'zane': 1, 'lowe': 1}"
967,{}
