,sentiment_polarity
303,0.0896164021164021
304,-0.0971194727891156
305,0.0875368480725623
306,0.0783185941043083
307,0.1606283422459893
308,0.1896551724137931
309,-0.1254895104895104
310,0.1095544217687075
311,0.2680555555555555
312,-0.1141762452107279
313,0.2193831168831169
314,-0.1883475406623554
315,0.1189517947330447
316,0.0964285714285714
317,0.0023965617715617
318,-0.0581695331695331
319,0.0493181818181818
320,0.0136792452830188
321,0.1176530612244897
322,-0.0717371475953565
323,0.1814285714285714
324,-0.0037047371031746
326,-0.0605549543049543
327,0.0116874527588813
328,0.0119490358126721
329,-0.2902173913043478
330,0.0539898989898989
331,0.0453073503999429
332,-0.1606168831168831
333,-0.0195469303423848
334,-0.17625
335,-0.281005772005772
336,0.03625
337,0.3279761904761905
338,0.0500544662309368
339,0.04834229390681
340,-0.0116057961646197
342,0.3249999999999999
343,0.1083178726035868
345,0.0388030888030887
346,-0.1010912698412698
347,-0.0424999999999999
349,0.0051851851851851
350,0.1275917658730158
351,0.0638616557734204
352,-0.2559923957621324
353,0.209090909090909
354,0.3086099086099085
355,0.0571637426900584
356,-0.0040584415584415
357,0.1034603174603174
358,0.2455357142857142
359,0.0039930555555555
360,0.1267857142857142
361,-0.2322916666666666
362,-0.0441106072058453
363,0.0007287157287157
364,-0.1059183383127045
365,0.1499999999999999
366,0.2109999999999999
367,0.3368055555555556
369,-0.0761111111111111
370,0.1803763440860215
371,0.0582631874298541
372,-0.0701388888888888
373,-0.1638888888888889
374,0.0501748251748251
375,-0.0101851851851851
376,0.0153011348350331
378,0.0759523809523809
379,0.133143547273982
380,0.215859250398724
381,0.0544279907084785
382,0.0749999999999999
383,-0.0057912457912457
384,0.1899999999999999
385,-0.175297619047619
386,-0.0535481770833333
387,0.2307894736842105
388,0.233107553366174
389,0.2285714285714286
390,-0.0343621399176954
392,0.2021825396825396
393,0.2836541708882134
394,-0.465497076023392
395,0.1698329448329448
396,-0.0383320383320383
397,0.1367524209391679
398,0.1005419710497835
399,0.0661487322201608
400,0.1777777777777777
401,0.1659337214509628
402,-0.016833028083028
403,-0.0740891053391053
404,0.0573717948717948
405,0.1513888888888888
406,0.0920666666666666
407,-0.1071133412042503
408,-0.0008918165168165
409,0.1227777777777777
410,-0.1489864864864865
411,-0.0894907407407407
412,0.0634768740031898
413,0.0507792207792207
414,-0.02493961352657
415,0.1666666666666666
416,-0.0191027926322044
417,0.0955596606458675
418,-0.1674913194444444
419,0.0823051948051947
420,0.0682815812445442
421,-0.1442411924119241
